# units cm^2/g, density 4.93g/cm^3
E,coh_scat,incoh_scat,pe,mu_tot,mu_tot_min_coh   
5.000E-02, 3.452E-01, 1.093E-01, 1.187E+01, 1.232E+01, 1.198E+01
6.000E-02, 2.577E-01, 1.110E-01, 7.208E+00, 7.577E+00, 7.319E+00
8.000E-02, 1.584E-01, 1.115E-01, 3.240E+00, 3.510E+00, 3.352E+00
1.000E-01, 1.073E-01, 1.100E-01, 1.725E+00, 1.942E+00, 1.835E+00
1.500E-01, 5.220E-02, 1.036E-01, 5.419E-01, 6.978E-01, 6.456E-01
2.000E-01, 3.087E-02, 9.709E-02, 2.383E-01, 3.663E-01, 3.354E-01
3.000E-01, 1.440E-02, 8.627E-02, 7.650E-02, 1.772E-01, 1.628E-01
4.000E-01, 8.295E-03, 7.811E-02, 3.525E-02, 1.217E-01, 1.134E-01
5.000E-01, 5.381E-03, 7.175E-02, 1.988E-02, 9.701E-02, 9.163E-02
6.000E-01, 3.771E-03, 6.663E-02, 1.274E-02, 8.313E-02, 7.936E-02
8.000E-01, 2.143E-03, 5.875E-02, 6.596E-03, 6.749E-02, 6.534E-02
1.000E+00, 1.379E-03, 5.291E-02, 4.120E-03, 5.841E-02, 5.703E-02
