# units cm^2/g, density 1g/cm^3
E, coh_scat, incoh_scat, pe, mu_tot, mu_tot_min_coh   
5.000E-02, 1.936E-02, 1.803E-01, 2.725E-02, 2.269E-01, 2.076E-01
6.000E-02, 1.392E-02, 1.770E-01, 1.493E-02, 2.059E-01, 1.920E-01
8.000E-02, 8.165E-03, 1.697E-01, 5.770E-03, 1.837E-01, 1.755E-01
1.000E-01, 5.349E-03, 1.626E-01, 2.763E-03, 1.707E-01, 1.654E-01
1.500E-01, 2.442E-03, 1.474E-01, 7.308E-04, 1.505E-01, 1.481E-01
2.000E-01, 1.388E-03, 1.353E-01, 2.887E-04, 1.370E-01, 1.356E-01
3.000E-01, 6.215E-04, 1.179E-01, 8.160E-05, 1.186E-01, 1.180E-01
4.000E-01, 3.506E-04, 1.058E-01, 3.493E-05, 1.061E-01, 1.058E-01
5.000E-01, 2.247E-04, 9.663E-02, 1.883E-05, 9.687E-02, 9.665E-02
6.000E-01, 1.561E-04, 8.939E-02, 1.173E-05, 8.956E-02, 8.940E-02
8.000E-01, 8.790E-05, 7.856E-02, 5.920E-06, 7.866E-02, 7.857E-02
1.000E+00, 5.627E-05, 7.066E-02, 3.681E-06, 7.072E-02, 7.066E-02
